,MES,,,,,MNQ,,,,, M2K,,,,,MGC,,,,,MCL,,,,,,,,,,,,MES,,,,,MNQ,,,,, M2K,,,,,MGC,,,,,MCL,,,
,6370,,69,431,,23425,,36,19,,,,,,,,,,,,,,,,,,,,,,,,6370,,7,41,,23425,,13,7,,,,,,,,,,,,,,,
,6375,,58,517,,23430,,14,51,,,,,,,,,,,,,,,,,,,,,,,,6375,,6,58,,23430,,5,18,,,,,,,,,,,,,,,
,6380,,69,132,,23440,,8,58,,,,,,,,,,,,,,,,,,,,,,,,6380,,9,17,,23440,,3,22,,,,,,,,,,,,,,,
,6385,,31,242,,23450,,69,145,,,,,,,,,,,,,,,,,,,,,,,,6385,,5,37,,23450,,27,56,,,,,,,,,,,,,,,
,6390,,88,457,,23460,,4,39,,,,,,,,,,,,,,,,,,,,,,,,6390,,16,81,,23460,,2,15,,,,,,,,,,,,,,,
,6395,,216,555,,23470,,17,57,,,,,,,,,,,,,,,,,,,,,,,,6395,,45,115,,23470,,7,23,,,,,,,,,,,,,,,
,6400,,295,1073,,23475,,21,13,,,,,,,,,,,,,,,,,,,,,,,,6400,,71,259,,23475,,9,5,,,,,,,,,,,,,,,
,6405,,100,142,,23480,,15,26,,,,,,,,,,,,,,,,,,,,,,,,6405,,28,40,,23480,,6,11,,,,,,,,,,,,,,,
,6410,,100,363,,23490,,3,15,,,,,,,,,,,,,,,,,,,,,,,,6410,,33,119,,23490,,1,7,,,,,,,,,,,,,,,
,6415,,78,399,,23500,,87,142,,,,,,,,,,,,,,,,,,,,,,,,6415,,30,151,,23500,,39,64,,,,,,,,,,,,,,,
,6420,,293,442,,23510,,11,12,,,,,,,,,,,,,,,,,,,,,,,,6420,,128,193,,23510,,5,6,,,,,,,,,,,,,,,
,6425,,291,882,,23520,,13,19,,,,,,,,,,,,,,,,,,,,,,,,6425,,146,442,,23520,,6,9,,,,,,,,,,,,,,,
,6430,,200,596,,23525,,21,12,,,,,,,,,,,,,,,,,,,,,,,,6430,,114,340,,23525,,10,6,,,,,,,,,,,,,,,
,6435,,259,474,,23530,,28,26,,,,,,,,,,,,,,,,,,,,,,,,6435,,167,305,,23530,,13,12,,,,,,,,,,,,,,,
,6440,,275,538,,23540,,8,13,,,,,,,,,,,,,,,,,,,,,,,,6440,,196,384,,23540,,4,6,,,,,,,,,,,,,,,
,6445,,114,650,,23550,,28,125,,,,,,,,,,,,,,,,,,,,,,,,6445,,89,507,,23550,,14,62,,,,,,,,,,,,,,,
,6450,,712,1076,,23560,,45,35,,,,,,,,,,,,,,,,,,,,,,,,6450,,592,895,,23560,,23,18,,,,,,,,,,,,,,,
,6455,,617,770,,23570,,58,37,,,,,,,,,,,,,,,,,,,,,,,,6455,,531,663,,23570,,29,19,,,,,,,,,,,,,,,
,6460,,450,432,,23575,,45,13,,,,,,,,,,,,,,,,,,,,,,,,6460,,391,375,,23575,,23,7,,,,,,,,,,,,,,,
,6465,,567,441,,23580,,46,32,,,,,,,,,,,,,,,,,,,,,,,,6465,,480,373,,23580,,24,16,,,,,,,,,,,,,,,
,6470,,1143,944,,23590,,25,40,,,,,,,,,,,,,,,,,,,,,,,,6470,,907,749,,23590,,13,20,,,,,,,,,,,,,,,
,6475,,1234,408,,23600,,81,41,,,,,,,,,,,,,,,,,,,,,,,,6475,,889,294,,23600,,41,21,,,,,,,,,,,,,,,
,6480,,582,306,,23610,,54,15,,,,,,,,,,,,,,,,,,,,,,,,6480,,366,192,,23610,,27,8,,,,,,,,,,,,,,,
,6485,,657,137,,23620,,28,13,,,,,,,,,,,,,,,,,,,,,,,,6485,,348,73,,23620,,14,7,,,,,,,,,,,,,,,
,6490,,914,276,,23625,,89,31,,,,,,,,,,,,,,,,,,,,,,,,6490,,393,119,,23625,,45,16,,,,,,,,,,,,,,,
,6495,,406,70,,23630,,33,4,,,,,,,,,,,,,,,,,,,,,,,,6495,,138,24,,23630,,16,2,,,,,,,,,,,,,,,
,6500,,706,125,,23640,,20,3,,,,,,,,,,,,,,,,,,,,,,,,6500,,186,33,,23640,,10,1,,,,,,,,,,,,,,,
,6505,,494,13,,23650,,147,45,,,,,,,,,,,,,,,,,,,,,,,,6505,,96,3,,23650,,71,22,,,,,,,,,,,,,,,
,6510,,703,33,,23660,,20,,,,,,,,,,,,,,,,,,,,,,,,,6510,,107,5,,23660,,9,,,,,,,,,,,,,,,,
,6515,,587,14,,23670,,21,3,,,,,,,,,,,,,,,,,,,,,,,,6515,,68,2,,23670,,10,1,,,,,,,,,,,,,,,
,6520,,722,4,,23675,,31,2,,,,,,,,,,,,,,,,,,,,,,,,6520,,57,0,,23675,,14,1,,,,,,,,,,,,,,,
,6525,,703,8,,23680,,129,1,,,,,,,,,,,,,,,,,,,,,,,,6525,,40,0,,23680,,57,0,,,,,,,,,,,,,,,
,6530,,281,6,,23690,,19,,,,,,,,,,,,,,,,,,,,,,,,,6530,,14,0,,23690,,8,,,,,,,,,,,,,,,,
,6535,,343,1,,23700,,283,24,,,,,,,,,,,,,,,,,,,,,,,,6535,,10,0,,23700,,116,10,,,,,,,,,,,,,,,
,6540,,319,7,,23710,,14,6,,,,,,,,,,,,,,,,,,,,,,,,6540,,9,0,,23710,,5,2,,,,,,,,,,,,,,,
,6545,,334,,,23720,,29,1,,,,,,,,,,,,,,,,,,,,,,,,6545,,8,,,23720,,11,0,,,,,,,,,,,,,,,
,6550,,579,,,23725,,21,1,,,,,,,,,,,,,,,,,,,,,,,,6550,,13,,,23725,,8,0,,,,,,,,,,,,,,,
,6555,,681,,,23730,,14,7,,,,,,,,,,,,,,,,,,,,,,,,6555,,14,,,23730,,5,2,,,,,,,,,,,,,,,
,6560,,650,2,,23740,,26,1,,,,,,,,,,,,,,,,,,,,,,,,6560,,13,0,,23740,,9,0,,,,,,,,,,,,,,,
,6565,,369,,,23750,,225,5,,,,,,,,,,,,,,,,,,,,,,,,6565,,7,,,23750,,71,2,,,,,,,,,,,,,,,
,6570,,145,2,,23760,,21,,,,,,,,,,,,,,,,,,,,,,,,,6570,,2,0,,23760,,6,,,,,,,,,,,,,,,,
,6575,,406,,,23770,,43,,,,,,,,,,,,,,,,,,,,,,,,,6575,,7,,,23770,,12,,,,,,,,,,,,,,,,
,6580,,413,,,23775,,41,4,,,,,,,,,,,,,,,,,,,,,,,,6580,,6,,,23775,,11,1,,,,,,,,,,,,,,,
,6585,,152,,,23780,,4,,,,,,,,,,,,,,,,,,,,,,,,,6585,,2,,,23780,,1,,,,,,,,,,,,,,,,
,6590,,440,,,23790,,17,,,,,,,,,,,,,,,,,,,,,,,,,6590,,6,,,23790,,4,,,,,,,,,,,,,,,,
,6595,,119,,,23800,,177,14,,,,,,,,,,,,,,,,,,,,,,,,6595,,2,,,23800,,40,3,,,,,,,,,,,,,,,
,6600,,797,3,,23810,,3,1,,,,,,,,,,,,,,,,,,,,,,,,6600,,10,0,,23810,,1,0,,,,,,,,,,,,,,,
,6605,,197,,,23820,,2,,,,,,,,,,,,,,,,,,,,,,,,,6605,,2,,,23820,,0,,,,,,,,,,,,,,,,
,6610,,532,,,23825,,27,,,,,,,,,,,,,,,,,,,,,,,,,6610,,6,,,23825,,5,,,,,,,,,,,,,,,,
,6615,,148,,,23830,,35,,,,,,,,,,,,,,,,,,,,,,,,,6615,,2,,,23830,,6,,,,,,,,,,,,,,,,
,6620,,370,,,23840,,8,,,,,,,,,,,,,,,,,,,,,,,,,6620,,4,,,23840,,1,,,,,,,,,,,,,,,,
,,,,,,23850,,274,10,,,,,,,,,,,,,,,,,,,,,,,,6625,,42,,,23850,,41,1,,,,,,,,,,,,,,,
,,,,,,23860,,9,,,,,,,,,,,,,,,,,,,,,,,,,6630,,0,,,23860,,1,,,,,,,,,,,,,,,,
,,,,,,23870,,9,,,,,,,,,,,,,,,,,,,,,,,,,6635,,2,,,23870,,1,,,,,,,,,,,,,,,,
,,,,,,23875,,18,,,,,,,,,,,,,,,,,,,,,,,,,6640,,2,,,23875,,2,,,,,,,,,,,,,,,,
,,,,,,23880,,21,,,,,,,,,,,,,,,,,,,,,,,,,6645,,0,,,23880,,2,,,,,,,,,,,,,,,,
,,,,,,23890,,,,,,,,,,,,,,,,,,,,,,,,,,,6650,,26,,,23890,,,,,,,,,,,,,,,,,,
,,,,,,23900,,77,7,,,,,,,,,,,,,,,,,,,,,,,,6655,,0,,,23900,,7,1,,,,,,,,,,,,,,,
,,,,,,23910,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23910,,1,,,,,,,,,,,,,,,,
,,,,,,23920,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23920,,0,,,,,,,,,,,,,,,,
,,,,,,23925,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23925,,0,0,,,,,,,,,,,,,,,
,,,,,,23930,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23930,,1,,,,,,,,,,,,,,,,
,,,,,,23940,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23940,,0,,,,,,,,,,,,,,,,
,,,,,,23950,,107,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23950,,7,2,,,,,,,,,,,,,,,
,,,,,,23960,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23960,,0,,,,,,,,,,,,,,,,
,,,,,,23970,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23970,,0,,,,,,,,,,,,,,,,
,,,,,,23975,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23975,,0,,,,,,,,,,,,,,,,
,,,,,,23980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23980,,,,,,,,,,,,,,,,,,
